date,ts_recv,ts_event,side,price,size,ticker,und_ticker,expiration_date,option_type,strike_price
2025.04.02,12:52:04.956568341,12:52:04.956360192,N,0.05,1,XRX   250516C00007000,XRX,2025.05.16,C,7
2025.04.02,13:17:39.558826564,13:17:39.558616832,N,0.05,1,XRX   250516C00007000,XRX,2025.05.16,C,7
2025.04.02,10:52:15.916586037,10:52:15.916378112,N,4.13,1,XRX   250417P00009000,XRX,2025.04.17,P,9
2025.04.02,10:21:14.881680145,10:21:14.881470464,N,0.16,1,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.02,12:00:39.766785677,12:00:39.766576384,N,0.15,10,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.02,12:23:29.390865639,12:23:29.390656000,N,0.15,10,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.02,12:45:45.251565800,12:45:45.251356160,N,0.17,3,XRX   250516C00006000,XRX,2025.05.16,C,6
2025.04.02,12:49:22.219308256,12:49:22.219096064,N,3.1,2,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.02,13:01:10.360466115,13:01:10.360256768,N,3.1,4,XRX   250417P00008000,XRX,2025.04.17,P,8
2025.04.02,14:36:00.862630047,14:36:00.862421248,N,3,1,XRX   250620P00008000,XRX,2025.06.20,P,8
2025.04.02,14:36:00.962578135,14:36:00.962369280,N,3.04,1,XRX   250620P00008000,XRX,2025.06.20,P,8
2025.04.02,14:36:00.962578135,14:36:00.962369280,N,3.04,1,XRX   250620P00008000,XRX,2025.06.20,P,8
2025.04.02,09:59:55.168279551,09:59:55.168068096,N,0.2,1,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,10:29:12.058531979,10:29:12.058321920,N,0.23,10,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,13:04:41.946561508,13:04:41.946351104,N,0.22,1,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,13:11:55.066744729,13:11:55.066534144,N,0.23,1,XRX   250417C00005000,XRX,2025.04.17,C,5
2025.04.02,13:24:55.395008280,13:24:55.394798848,N,0.25,1,XRX   250417C00005000,XRX,2025.04.17,C,5
