date,ticker,tenor,parspread,convspreard,upfront,runningcoupon,primarycoupon,close_price,financial_debt_ratio,implied_vol,par_spread_error
2021-07-22,XRX,5Y,0.02233523,0.02265954,0.05673053,0.01,Y,23.25,23.08445629643047,0.2990158269137501,4.0102903154509706e-08
2021-07-23,XRX,5Y,0.02210792,0.02147906,-0.12840386,0.05,N,23.43,23.08445629643047,0.29934180093961,5.339183311095508e-08
2021-07-26,XRX,5Y,0.02208145,0.02239313,0.05550077,0.01,Y,23.62,23.08445629643047,0.3006322206851521,5.4301795469891e-08
2021-07-27,XRX,5Y,0.02196396,0.02227673,0.05497134,0.01,Y,24.81,23.26870747435831,0.30729467980484776,3.6215382148013786e-08
2021-07-28,XRX,5Y,0.02168926,0.02106588,-0.13016324,0.05,N,24.38,23.26870747435831,0.30298548912122863,1.3712535756188471e-08
2021-07-29,XRX,5Y,0.02152716,0.02090474,-0.13089623,0.05,N,24.28,23.26870747435831,0.30152686460449096,3.631678291426965e-13
2021-07-30,XRX,5Y,0.02140618,0.02079486,-0.13133213,0.05,N,24.13,23.26870747435831,0.29989411689121126,4.646109885708682e-13
2021-08-02,XRX,5Y,0.0213413,0.02073348,-0.13149307,0.05,N,24.08,23.26870747435831,0.29923589279653534,5.34041560973364e-13
2021-08-03,XRX,5Y,0.02138899,0.02167164,0.05225703,0.01,Y,24.37,23.26870747435831,0.301535536252043,5.143559189679792e-13
2021-08-04,XRX,5Y,0.02151233,0.02090418,-0.13063245,0.05,N,23.44,23.26870747435831,0.29533927973396273,6.723880258130421e-09
2021-08-05,XRX,5Y,0.02148358,0.02176916,0.05260826,0.01,Y,23.48,23.702353881736496,0.2923009917254401,9.65904666319628e-09
2021-08-06,XRX,5Y,0.02136219,0.02076075,-0.13103047,0.05,N,23.95,23.702353881736496,0.295186883592076,4.356168203933919e-13
2021-08-09,XRX,5Y,0.02140116,0.02080102,-0.13051498,0.05,N,23.81,23.702353881736496,0.2943474698267107,3.8244060696079885e-13
2021-08-10,XRX,5Y,0.02140481,0.02080353,-0.13038599,0.05,N,24.0,23.702353881736496,0.29574301487612276,3.9979131116751887e-13
2021-08-11,XRX,5Y,0.0213348,0.02161763,0.05166736,0.01,Y,24.33,23.702353881736496,0.29779328184408116,5.14893683245532e-13
2021-08-12,XRX,5Y,0.02124243,0.02064327,-0.13106424,0.05,N,24.16,23.702353881736496,0.29615356703326867,6.105081717944216e-13
2021-08-13,XRX,5Y,0.02123521,0.02151067,0.05117151,0.01,Y,23.9,23.702353881736496,0.29424508077097233,5.776143452429494e-13
2021-08-16,XRX,5Y,0.02131076,0.02158607,0.05143817,0.01,Y,23.77,23.702353881736496,0.2936445117608808,4.668522513018303e-13
2021-08-17,XRX,5Y,0.02145022,0.020847,-0.12980394,0.05,N,23.47,23.702353881736496,0.29207617580105655,5.846907739220919e-09
2021-08-18,XRX,5Y,0.02139314,0.0207978,-0.12995383,0.05,N,22.98,23.702353881736496,0.28816421653113544,7.452577201194632e-09
2021-08-19,XRX,5Y,0.02150054,0.02090586,-0.12933284,0.05,N,22.26,23.702353881736496,0.2831402460375987,3.077352939140354e-08
2021-08-20,XRX,5Y,0.02166118,0.02106369,-0.12849097,0.05,N,22.5,23.702353881736496,0.2857109460255689,4.1479320315312984e-08
2021-08-23,XRX,5Y,0.02156355,0.02184575,0.05235372,0.01,Y,22.6,23.702353881736496,0.28604306006039415,3.1571496177801306e-08
2021-08-24,XRX,5Y,0.02132717,0.02073595,-0.12985739,0.05,N,22.84,23.702353881736496,0.2868101519383697,1.9482877013088373e-09
2021-08-25,XRX,5Y,0.02132931,0.02160212,0.05126449,0.01,Y,22.88,23.702353881736496,0.28712233112584756,1.4562385637628683e-09
2021-08-26,XRX,5Y,0.02133788,0.02161058,0.05124711,0.01,Y,22.34,23.702353881736496,0.2830338814359962,1.2603918391612678e-08
2021-08-27,XRX,5Y,0.02109829,0.02136155,0.050165,0.01,Y,22.84,23.702353881736496,0.2857775407068429,5.747763376362514e-13
2021-08-30,XRX,5Y,0.02108354,0.02134591,0.05005888,0.01,Y,22.37,23.702353881736496,0.28212477863749424,5.077709086531712e-13
2021-08-31,XRX,5Y,0.02095186,0.02036744,-0.13123323,0.05,N,22.51,23.702353881736496,0.2826064054176798,7.204202512323121e-13
2021-09-01,XRX,5Y,0.02090278,0.02115828,0.04923348,0.01,Y,22.39,23.702353881736496,0.281464415604294,7.733050311209411e-13
2021-09-02,XRX,5Y,0.02086956,0.02028691,-0.1314892,0.05,N,23.22,23.702353881736496,0.2875856714174917,1.100008972798605e-12
2021-09-03,XRX,5Y,0.02080568,0.02106003,0.04877434,0.01,Y,22.51,23.702353881736496,0.28194532487057217,1.0066843192380048e-12
2021-09-07,XRX,5Y,0.02066232,0.02007914,-0.1321804,0.05,N,21.77,23.702353881736496,0.2755557157081604,1.0659702287529882e-12
2021-09-08,XRX,5Y,0.02058288,0.01999815,-0.13243388,0.05,N,21.15,23.702353881736496,0.2702497840940748,9.980245796459286e-13
2021-09-09,XRX,5Y,0.02059195,0.02000644,-0.13234281,0.05,N,21.2,23.702353881736496,0.27069440172011583,9.980419268806884e-13
2021-09-10,XRX,5Y,0.02059222,0.02001459,-0.13226013,0.05,N,20.76,23.702353881736496,0.2671086322362344,8.303635556927702e-13
2021-09-13,XRX,5Y,0.02074027,0.02099167,0.04820187,0.01,Y,20.92,23.702353881736496,0.269079758517238,6.375872052544196e-13
2021-09-14,XRX,5Y,0.02099867,0.02040853,-0.13000302,0.05,N,20.59,23.702353881736496,0.2674990532577524,1.0355476882245584e-08
2021-09-15,XRX,5Y,0.02131857,0.02159253,0.05068157,0.01,Y,21.0,23.702353881736496,0.2722901812927283,3.467991436731377e-08
2021-09-16,XRX,5Y,0.02143611,0.02171022,0.05114054,0.01,Y,20.98,23.702353881736496,0.2726424093399844,4.48776105339832e-08
2021-09-17,XRX,5Y,0.02173387,0.02113482,-0.12618146,0.05,N,20.98,23.702353881736496,0.27394403087040037,4.972170994030356e-08
2021-09-20,XRX,5Y,0.02534606,0.02587925,0.07418892,0.01,Y,20.89,23.702353881736496,0.2884489356258322,6.333135613156848e-10
2021-09-21,XRX,5Y,0.0256136,0.02488783,-0.11785147,0.05,N,20.18,23.702353881736496,0.2834265342064446,4.269307858628668e-10
2021-09-22,XRX,5Y,0.02582717,0.02510443,-0.11666854,0.05,N,20.32,23.702353881736496,0.28551170665978853,3.460282546607907e-10
2021-09-23,XRX,5Y,0.02590897,0.02518627,-0.11612813,0.05,N,20.68,23.702353881736496,0.28895394449787537,3.3307196931064986e-10
2021-09-24,XRX,5Y,0.02633721,0.02692334,0.07847581,0.01,Y,20.77,23.702353881736496,0.29145633958794376,2.1166282615503462e-10
2021-09-27,XRX,5Y,0.02644339,0.02572615,-0.11293007,0.05,N,21.32,23.702353881736496,0.29654128212048847,2.0183280394214798e-10
2021-09-28,XRX,5Y,0.02706466,0.02769601,0.08156753,0.01,Y,21.1,23.702353881736496,0.2971941080447495,9.982373608274919e-11
2021-09-29,XRX,5Y,0.02729823,0.0279441,0.08257868,0.01,Y,20.43,23.702353881736496,0.29235264527595234,7.182298505936657e-11
2021-09-30,XRX,5Y,0.02750235,0.02679084,-0.10731996,0.05,N,20.17,23.702353881736496,0.2908676545362793,1.2654153735275342e-08
2021-10-01,XRX,5Y,0.02770723,0.02699644,-0.10624274,0.05,N,21.0,23.702353881736496,0.29890610701443704,2.0423098025246222e-08
2021-10-04,XRX,5Y,0.02810366,0.02879736,0.08612599,0.01,Y,20.82,23.702353881736496,0.2989258603540585,4.7834871411134294e-08
2021-10-05,XRX,5Y,0.02814962,0.02744734,-0.10385783,0.05,N,21.09,23.702353881736496,0.3014278233576675,4.8570680952902956e-08
